iter	Passed	Remaining
813	5600	1279
814	5608	1273
815	5611	1265
816	5617	1258
817	5623	1251
818	5679	1255
819	5681	1247
820	5688	1240
821	5690	1232
822	5698	1225
823	5704	1218
824	5708	1210
825	5710	1202
826	5712	1194
827	5714	1187
828	5720	1179
829	5724	1172
830	5774	1174
831	5777	1166
832	5779	1158
833	5785	1151
834	5787	1143
835	5790	1135
836	5792	1128
837	5795	1120
838	5799	1112
839	5806	1105
840	5820	1100
841	5821	1092
842	5850	1089
843	5854	1082
844	5864	1075
845	5866	1067
846	5868	1060
847	5872	1052
848	5875	1045
849	5879	1037
850	5881	1029
851	5883	1022
852	5885	1014
853	5889	1006
854	5938	1007
855	5941	999
856	5943	991
857	5946	984
858	5949	976
859	5954	969
860	5957	961
861	5960	954
862	5962	946
863	5965	938
864	5969	931
865	5985	926
866	5987	918
867	5990	911
868	5997	904
869	6004	897
870	6007	889
871	6015	882
872	6024	876
873	6034	869
874	6037	862
875	6039	854
876	6047	848
877	6050	840
878	6052	833
879	6055	825
880	6062	818
881	6065	811
882	6067	804
883	6071	796
884	6082	790
885	6089	783
886	6120	779
887	6127	772
888	6131	765
889	6133	758
890	6135	750
891	6137	743
892	6141	735
893	6145	728
894	6146	721
895	6148	713
896	6150	706
897	6158	699
898	6180	694
899	6182	686
900	6186	679
901	6189	672
902	6191	665
903	6193	657
904	6195	650
905	6197	643
906	6204	636
907	6207	628
908	6209	621
909	6211	614
910	6220	607
911	6222	600
912	6224	593
913	6230	586
914	6234	579
915	6237	571
916	6240	564
917	6245	557
918	6247	550
919	6249	543
920	6251	536
921	6253	529
922	6256	521
923	6263	515
924	6286	509
925	6288	502
926	6295	495
927	6298	488
928	6305	481
929	6318	475
930	6331	469
931	6334	462
932	6336	455
933	6340	448
934	6344	441
935	6347	434
936	6349	426
937	6352	419
938	6361	413
939	6363	406
940	6402	401
941	6406	394
942	6408	387
943	6411	380
944	6413	373
945	6423	366
946	6426	359
947	6429	352
948	6434	345
949	6436	338
950	6439	331
951	6442	324
952	6459	318
953	6461	311
954	6469	304
955	6472	297
956	6474	290
957	6476	283
958	6481	277
959	6485	270
960	6488	263
961	6490	256
962	6492	249
963	6504	242
964	6507	236
965	6512	229
966	6516	222
967	6523	215
968	6527	208
969	6530	201
970	6533	195
971	6537	188
972	6544	181
973	6547	174
974	6548	167
975	6550	161
976	6552	154
977	6563	147
978	6565	140
979	6567	134
980	6569	127
981	6574	120
982	6579	113
983	6581	107
984	6585	100
985	6592	93
986	6593	86
987	6595	80
988	6597	73
989	6599	66
990	6601	59
991	6605	53
992	6607	46
993	6608	39
994	6613	33
995	6619	26
996	6622	19
997	6662	13
998	6665	6
999	6669	0
